Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
285,SIU Edwardsville,28,6,22,0.214,-10.63,-2.45,3,13,3,11,3,11,1839,2068,,1130,708,1554,0.456,175,471,0.372,477,675,0.707,273,981,380,160,98,336,551
286,Southern Illinois,32,22,10,0.688,2.69,-1.4,11,7,12,4,9,4,2360,2229,,1290,764,1687,0.453,189,594,0.318,512,758,0.675,268,1038,377,190,88,478,680
287,Southern Methodist,30,25,5,0.833,18.67,4.8,13,5,16,1,7,4,2319,1903,,1200,676,1690,0.4,224,676,0.331,327,513,0.637,313,878,378,220,118,363,536
288,Southern Mississippi,29,8,21,0.276,-10.46,-3.53,5,13,6,9,2,12,1866,2045,,1180,687,1575,0.436,249,699,0.356,422,605,0.698,281,1026,395,189,87,342,525
289,Southern Utah,30,6,24,0.2,-17.18,-4.04,3,15,3,10,3,13,2119,2429,,1210,839,1700,0.494,231,559,0.413,520,728,0.714,299,1091,402,180,114,371,590
290,Southern,34,22,12,0.647,-7.16,-9.04,11,7,12,1,6,10,2479,2347,,1360,814,1961,0.415,225,709,0.317,494,745,0.663,412,1282,396,180,104,468,658
291,St. Bonaventure,30,22,8,0.733,7.2,2.23,14,4,14,2,8,5,2334,2185,,1210,758,1746,0.434,211,663,0.318,458,660,0.694,364,1096,424,159,91,394,592
292,St. Francis (NY),32,15,17,0.469,-10.95,-8.95,11,7,9,5,6,11,2095,2131,,1290,765,1809,0.423,152,463,0.328,449,630,0.713,349,1154,368,204,90,404,592
293,St. John's (NY),32,8,24,0.25,-2.05,7.79,1,17,6,10,0,10,2174,2472,,1280,835,1854,0.45,238,643,0.37,564,795,0.709,355,1260,459,273,109,464,664
294,Stanford,30,15,15,0.5,8.49,10.84,8,10,12,5,2,8,2088,2111,,1210,728,1647,0.442,228,627,0.364,427,646,0.661,318,1053,420,161,93,402,645
295,Stephen F. Austin,32,27,5,0.844,8.41,-6.88,18,0,14,0,9,4,2583,2021,,1280,719,1642,0.438,165,511,0.323,418,637,0.656,309,1020,375,174,87,596,648
296,Stetson,34,12,22,0.353,-10.76,-4.33,4,10,6,8,5,13,2729,2807,,1390,1052,2221,0.474,251,725,0.346,452,670,0.675,407,1362,524,209,155,415,634
297,Stony Brook,32,26,6,0.813,4.25,-6.02,14,2,15,1,11,5,2458,2030,,1285,737,1824,0.404,208,636,0.327,348,489,0.712,292,1014,351,177,81,408,589
298,Syracuse,32,19,13,0.594,13.58,9.08,9,9,13,4,3,7,2247,2103,,1295,759,1834,0.414,225,740,0.304,360,540,0.667,414,1180,494,208,85,430,574
299,Temple,32,21,11,0.656,7.64,6.42,14,4,11,3,8,4,2197,2158,,1300,785,1883,0.417,189,600,0.315,399,539,0.74,347,1223,395,138,117,352,505
300,Tennessee-Martin,33,19,14,0.576,-5.73,-4.83,10,6,11,2,7,9,2398,2338,,1335,830,1920,0.432,283,830,0.341,395,563,0.702,340,1131,467,182,92,399,613
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
301,Tennessee State,30,20,10,0.667,-1.6,-5.38,11,5,11,2,7,7,2200,2056,,1210,674,1631,0.413,239,672,0.356,469,687,0.683,304,1017,378,171,77,450,603
302,Tennessee Tech,30,19,11,0.633,-2.75,-3.79,11,5,14,1,5,9,2357,2265,,1205,806,1832,0.44,231,634,0.364,422,619,0.682,358,1083,439,184,92,351,640
303,Tennessee,34,15,19,0.441,8.16,8.22,6,12,12,4,1,11,2554,2556,,1360,886,2081,0.426,248,726,0.342,536,776,0.691,456,1361,471,204,120,420,690
304,Texas A&amp;M-Corpus Christi,32,25,7,0.781,-2.44,-5.57,15,3,13,1,10,5,2356,2212,,1280,719,1740,0.413,220,638,0.345,554,774,0.716,372,1146,390,203,70,518,652
305,Texas A&amp;M,34,26,8,0.765,19.09,8.71,13,5,17,1,5,5,2581,2228,,1370,783,1929,0.406,251,762,0.329,411,626,0.657,381,1191,439,171,118,488,656
306,Texas-Arlington,33,23,10,0.697,5.72,-2.85,13,7,13,2,9,7,2627,2295,,1335,751,1886,0.398,258,775,0.333,535,813,0.658,340,1183,407,221,154,498,668
307,Texas Christian,33,12,21,0.364,4.68,9.23,2,16,9,9,1,10,2209,2359,,1320,806,1805,0.447,225,647,0.348,522,747,0.699,349,1204,486,246,151,482,738
308,Texas-El Paso,33,19,14,0.576,-3.66,-4.78,10,8,14,4,2,9,2554,2471,,1335,853,2013,0.424,268,796,0.337,497,734,0.677,403,1294,482,175,100,470,695
309,Texas-Rio Grande Valley,30,8,22,0.267,-17.66,-4.03,4,10,7,6,1,13,1993,2330,,1200,861,1897,0.454,207,602,0.344,401,586,0.684,400,1235,479,191,82,305,507
310,Texas-San Antonio,32,5,27,0.156,-16.23,-3.23,3,15,4,10,1,14,2317,2698,,1290,924,1826,0.506,280,687,0.408,564,834,0.676,280,1180,541,200,159,410,664
311,Texas Southern,32,18,14,0.563,-4.56,-7.28,16,2,9,0,7,12,2330,2243,,1280,843,1932,0.436,208,623,0.334,351,466,0.753,322,1044,430,201,124,348,686
312,Texas State,31,15,16,0.484,-5.16,-4.09,8,12,10,4,4,11,2046,1993,,1250,691,1627,0.425,194,560,0.346,417,596,0.7,312,1063,340,177,92,436,606
313,Texas Tech,31,19,12,0.613,13.2,10.65,9,9,14,3,3,7,2244,2165,,1255,758,1777,0.427,237,674,0.352,412,585,0.704,355,1046,348,197,102,387,654
314,Texas,32,20,12,0.625,15.76,12.48,11,7,14,3,5,5,2283,2178,,1290,754,1801,0.419,201,586,0.343,469,675,0.695,359,1153,358,145,104,398,651
315,Toledo,32,17,15,0.531,3.11,-2.22,8,10,9,6,6,8,2482,2286,,1280,815,1874,0.435,267,691,0.386,389,538,0.723,275,1064,408,203,100,390,638
316,Towson,32,20,12,0.625,0.61,-1.55,11,7,12,3,7,6,2286,2137,,1290,720,1728,0.417,202,589,0.343,495,670,0.739,302,1018,348,166,109,403,665
317,Troy,31,9,22,0.29,-9.03,-1.89,4,16,4,10,4,10,2145,2329,,1250,821,1859,0.442,236,666,0.354,451,641,0.704,356,1202,442,199,111,389,630
318,Tulane,34,12,22,0.353,-0.63,4.02,3,15,6,10,2,10,2240,2398,,1390,845,1950,0.433,212,601,0.353,496,718,0.691,369,1264,409,240,119,442,598
319,Tulsa,31,20,11,0.645,10.07,5.75,12,6,12,3,6,5,2294,2160,,1250,733,1760,0.416,235,647,0.363,459,613,0.749,339,1147,375,164,101,442,636
320,UCLA,32,15,17,0.469,10.86,10.08,6,12,11,6,3,7,2480,2455,,1295,860,2002,0.43,268,757,0.354,467,677,0.69,381,1188,462,213,98,372,619
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
321,Utah State,31,16,15,0.516,2.61,1.99,7,11,10,6,5,8,2274,2217,,1240,795,1800,0.442,228,663,0.344,399,575,0.694,315,1070,435,190,96,353,558
