Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
48,Central Arkansas,28,7,21,0.25,-14.97,-6.61,6,12,4,6,2,14,2110,2344,,73.7,113.6,0.387,0.357,0.573,49.6,54.6,9.5,9.8,0.538,13.8,28.7,0.279
49,Central Connecticut State,29,4,25,0.138,-22.06,-8.96,3,15,3,11,1,14,1888,2268,,68.8,112.2,0.305,0.327,0.558,51.2,52.7,10.1,9.3,0.534,12.9,27.5,0.211
50,Central Florida,30,12,18,0.4,0.37,3.21,6,12,8,8,4,9,2062,2147,,68.3,103.9,0.25,0.349,0.498,48.3,55.1,10.8,9.1,0.471,11.5,34.9,0.172
51,Central Michigan,32,17,15,0.531,-0.19,-0.95,10,8,13,3,4,8,2422,2325,,67.3,107.5,0.337,0.342,0.534,51.6,48.7,6.3,7.9,0.502,13.8,31.1,0.234
52,Charleston Southern,30,9,21,0.3,-10.58,-2.24,5,13,6,8,3,12,2146,2253,,70,106.4,0.365,0.385,0.562,51.1,52.4,8.2,11.8,0.529,15.9,23.4,0.261
53,Charlotte,33,14,19,0.424,-3.03,-1.6,9,9,8,7,5,8,2584,2631,,72.1,108.9,0.309,0.337,0.575,50.1,45.6,7.8,8.5,0.548,16.3,25,0.223
54,Chattanooga,34,29,5,0.853,3.92,-3.77,15,3,13,1,10,4,2578,2265,,68,97.3,0.296,0.363,0.52,47.5,50.5,9.3,10.7,0.493,18.3,29.6,0.2
55,Chicago State,32,4,28,0.125,-17.35,-1.21,0,14,4,9,0,15,2140,2478,,72,107.6,0.432,0.419,0.565,52.3,66.8,9.3,10.7,0.533,17.8,27.4,0.294
56,Cincinnati,32,22,10,0.688,15.58,5.27,12,6,14,3,6,6,2342,2012,,65.7,93.2,0.269,0.35,0.482,46.8,50.8,7.6,8.6,0.453,17.5,31.2,0.182
57,Citadel,32,10,22,0.313,-15.6,-4.39,3,15,6,8,3,13,2753,2962,,81.2,113.6,0.439,0.313,0.598,55.6,52.4,8.4,11.6,0.568,18,28.9,0.308
58,Clemson,31,17,14,0.548,12.22,7.06,10,8,13,4,3,8,2159,1999,,63.7,100.5,0.285,0.34,0.51,49.8,51.9,7.9,8.4,0.479,15.5,31,0.202
59,Cleveland State,32,9,23,0.281,-9.12,0.15,4,14,5,9,3,10,1947,2169,,65.9,102.4,0.452,0.353,0.537,51.4,59.1,9.6,8.4,0.504,17.8,29.9,0.297
60,Coastal Carolina,29,18,11,0.621,-1.65,-4.38,12,6,11,3,7,5,2167,1953,,68.2,98.2,0.316,0.417,0.491,47.3,49.7,8.7,7.6,0.461,13.9,32.4,0.206
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Colgate,30,13,17,0.433,-8.4,-5.85,9,9,8,4,5,13,2093,2145,,65.3,107.6,0.415,0.372,0.56,52.3,52.3,8.3,11.3,0.528,17,29.5,0.285
62,College of Charleston,31,17,14,0.548,2.67,0.34,8,10,10,5,6,8,2028,1921,,65.1,94.4,0.426,0.346,0.516,49.2,47.5,8.1,9.2,0.48,19.3,24.4,0.28
63,Colorado State,34,18,16,0.529,2.24,1.46,8,10,12,5,3,8,2700,2626,,69.3,108.2,0.345,0.395,0.554,46.4,51.2,8.5,8.8,0.52,13.2,23.2,0.249
64,Colorado,33,22,11,0.667,12.6,7.85,10,8,16,1,4,7,2509,2333,,70.8,99.1,0.35,0.292,0.505,44.1,42.1,10.5,10.8,0.471,13.6,25.5,0.237
65,Columbia,31,21,10,0.677,2.36,-2.57,10,4,14,4,7,6,2362,2146,,66.8,102.4,0.36,0.391,0.543,48.6,53.8,6.7,9.9,0.511,17.1,26.3,0.25
66,Connecticut,34,24,10,0.706,16.14,5.81,11,7,14,3,6,4,2496,2145,,66.1,94.1,0.346,0.367,0.477,48.5,52.5,7.7,9.2,0.442,15.4,34.2,0.227
67,Coppin State,31,9,22,0.29,-15.33,-5.64,6,10,5,7,3,14,2240,2497,,71.3,109.4,0.427,0.322,0.555,52.9,52.3,7.7,10.1,0.53,16.2,30.9,0.274
68,Cornell,28,10,18,0.357,-9.58,-1.06,3,11,5,8,5,10,1992,2193,,72.6,106.9,0.349,0.356,0.546,56.8,59.9,7.6,10.7,0.508,17,34.5,0.257
69,Creighton,32,18,14,0.563,13.03,6.5,9,9,12,5,4,8,2546,2337,,72.1,101.2,0.333,0.33,0.528,49.2,50.8,8.5,8.4,0.497,15.6,27.7,0.23
70,Dartmouth,28,10,18,0.357,-5.56,-3.27,4,10,8,6,2,12,1992,1989,,69.1,101.9,0.422,0.406,0.55,48.2,53.4,9.7,11.6,0.521,18.6,27.1,0.28
71,Davidson,32,20,12,0.625,5.96,5.03,10,8,15,1,3,9,2534,2492,,71.1,109.1,0.297,0.358,0.547,52.6,49,7.8,9.4,0.521,14,30.3,0.207
72,Dayton,32,25,7,0.781,12.1,4.72,14,4,14,3,8,2,2342,2106,,68.7,94.7,0.325,0.367,0.499,46.3,55,6.9,8.1,0.469,16,25.9,0.214
73,Delaware State,32,7,25,0.219,-20.56,-6.52,5,11,6,7,1,17,1980,2336,,67.2,107.8,0.406,0.422,0.538,55.2,60.4,8.7,9,0.502,16.5,35.8,0.278
74,Delaware,30,7,23,0.233,-8.47,0.99,2,16,5,7,2,15,1986,2270,,67.4,111.8,0.319,0.472,0.548,49.3,62.4,9.3,10.5,0.518,11.8,27.8,0.226
75,Denver,31,16,15,0.516,-3.13,-3.03,7,9,8,7,6,6,2021,2024,,62.6,104.3,0.434,0.352,0.567,54.8,54.6,9.1,10.4,0.519,20,33,0.329
76,DePaul,31,9,22,0.29,0.66,8.18,3,15,5,9,3,10,2092,2325,,68.4,109.2,0.448,0.395,0.56,49.4,61.6,9.7,8.2,0.514,15.5,30.7,0.331
77,Detroit Mercy,31,16,15,0.516,-2.38,-0.76,9,9,11,4,4,10,2595,2567,,75.7,109,0.454,0.364,0.565,48.6,51.9,8.3,9.8,0.525,15.6,28.7,0.323
78,Drake,31,7,24,0.226,-5.22,0.85,2,16,5,9,0,12,2093,2230,,65.9,107.8,0.301,0.329,0.54,49.7,46,9.1,12,0.513,12.9,30.1,0.21
79,Drexel,31,6,25,0.194,-5.13,2.17,3,15,3,9,2,12,1958,2183,,65.6,107,0.474,0.325,0.557,52,51.8,7.8,9.1,0.52,15.9,24.9,0.325
