Rk,School,School_url
213,North Carolina-Wilmington,north-carolina-wilmington
214,North Carolina,north-carolina
215,North Dakota State,north-dakota-state
216,North Dakota,north-dakota
217,North Florida,north-florida
218,North Texas,north-texas
219,Northeastern,northeastern
220,Northern Arizona,northern-arizona
221,Northern Colorado,northern-colorado
222,Northern Illinois,northern-illinois
223,Northern Iowa,northern-iowa
224,Northern Kentucky,northern-kentucky
225,Northwestern State,northwestern-state
226,Northwestern,northwestern
227,Notre Dame,notre-dame
228,Oakland,oakland
229,Ohio State,ohio-state
230,Ohio,ohio
231,Oklahoma State,oklahoma-state
232,Oklahoma,oklahoma
233,Old Dominion,old-dominion
234,Oral Roberts,oral-roberts
235,Oregon State,oregon-state
236,Oregon,oregon
237,Pacific,pacific
238,Penn State,penn-state
239,Pennsylvania,pennsylvania
240,Pepperdine,pepperdine
241,Pittsburgh,pittsburgh
242,Portland State,portland-state
243,Portland,portland
244,Prairie View,prairie-view
245,Presbyterian,presbyterian
246,Princeton,princeton
247,Providence,providence
248,Purdue,purdue
249,Quinnipiac,quinnipiac
250,Radford,radford
251,Rhode Island,rhode-island
252,Rice,rice
253,Richmond,richmond
254,Rider,rider
255,Robert Morris,robert-morris
256,Rutgers,rutgers
257,Sacramento State,sacramento-state
258,Sacred Heart,sacred-heart
259,Saint Francis (PA),saint-francis-pa
260,Saint Joseph's,saint-josephs
261,Saint Louis,saint-louis
262,Saint Mary's (CA),saint-marys-ca
263,Saint Peter's,saint-peters
264,Sam Houston State,sam-houston-state
265,Samford,samford
266,San Diego State,san-diego-state
267,San Diego,san-diego
268,San Francisco,san-francisco
269,San Jose State,san-jose-state
270,Santa Clara,santa-clara
271,Savannah State,savannah-state
272,Seattle,seattle
273,Seton Hall,seton-hall
274,Siena,siena
275,South Alabama,south-alabama
276,South Carolina State,south-carolina-state
277,South Carolina Upstate,south-carolina-upstate
278,South Carolina,south-carolina
279,South Dakota State,south-dakota-state
280,South Dakota,south-dakota
281,South Florida,south-florida
282,Southeast Missouri State,southeast-missouri-state
283,Southeastern Louisiana,southeastern-louisiana
284,Southern California,southern-california
285,SIU Edwardsville,southern-illinois-edwardsville
286,Southern Illinois,southern-illinois
287,Southern Methodist,southern-methodist
288,Southern Mississippi,southern-mississippi
289,Southern Utah,southern-utah
290,Southern,southern
291,St. Bonaventure,st-bonaventure
292,St. Francis (NY),st-francis-ny
293,St. John's (NY),st-johns-ny
294,Stanford,stanford
295,Stephen F. Austin,stephen-f-austin
296,Stetson,stetson
297,Stony Brook,stony-brook
298,Syracuse,syracuse
299,Temple,temple
300,Tennessee-Martin,tennessee-martin
301,Tennessee State,tennessee-state
302,Tennessee Tech,tennessee-tech
303,Tennessee,tennessee
304,Texas A&amp;M-Corpus Christi,texas-am-corpus-christi
305,Texas A&amp;M,texas-am
306,Texas-Arlington,texas-arlington
307,Texas Christian,texas-christian
308,Texas-El Paso,texas-el-paso
309,Texas-Rio Grande Valley,texas-pan-american
310,Texas-San Antonio,texas-san-antonio
311,Texas Southern,texas-southern
312,Texas State,texas-state
313,Texas Tech,texas-tech
314,Texas,texas
315,Toledo,toledo
316,Towson,towson
317,Troy,troy
318,Tulane,tulane
319,Tulsa,tulsa
320,UCLA,ucla
321,Utah State,utah-state
322,Utah Valley,utah-valley
323,Utah,utah
324,Valparaiso,valparaiso
325,Vanderbilt,vanderbilt
326,Vermont,vermont
327,Villanova,villanova
328,Virginia Commonwealth,virginia-commonwealth
329,VMI,vmi
330,Virginia Tech,virginia-tech
331,Virginia,virginia
332,Wagner,wagner
333,Wake Forest,wake-forest
334,Washington State,washington-state
335,Washington,washington
336,Weber State,weber-state
337,West Virginia,west-virginia
338,Western Carolina,western-carolina
339,Western Illinois,western-illinois
340,Western Kentucky,western-kentucky
341,Western Michigan,western-michigan
342,Wichita State,wichita-state
343,William &amp; Mary,william-mary
344,Winthrop,winthrop
345,Wisconsin,wisconsin
346,Wofford,wofford
347,Wright State,wright-state
348,Wyoming,wyoming
349,Xavier,xavier
350,Yale,yale
351,Youngstown State,youngstown-state
