,Team_ID,Date,Var.5,Opponent,School,School_url,Var.8,Opponent_url,Pace,EFG,TOV,ORB,FTFGA,O_EFG,O_TOV,O_ORB,O_FTFGA
8859,texas-southern,"Fri, Nov 13, 2015",@,New Mexico,Texas Southern,texas-southern,L,new-mexico,71.6,0.408,23.9,25.0,0.347,0.639,16.7,34.8,0.315
8887,texas-state,"Mon, Nov 16, 2015",,Texas-Tyler,Texas State,texas-state,W,texas-tyler,76.1,,,,,0.532,15.5,43.2,0.27
9136,utah-state,"Fri, Nov 13, 2015",@,Weber State,Utah State,utah-state,W,weber-state,67.0,0.525,14.0,29.7,0.148,0.542,15.9,14.8,0.375
9338,virginia-commonwealth,"Fri, Nov 13, 2015",,Prairie View,Virginia Commonwealth,virginia-commonwealth,W,prairie-view,73.8,0.477,18.7,43.6,0.182,0.339,25.5,34.1,0.214
9507,washington-state,"Fri, Nov 13, 2015",,Northern Arizona,Washington State,washington-state,W,northern-arizona,80.9,0.529,19.3,33.3,0.147,0.407,20.0,29.7,0.373
9560,weber-state,"Fri, Nov 13, 2015",,Utah State,Weber State,weber-state,L,utah-state,67.0,0.542,15.9,14.8,0.375,0.525,14.0,29.7,0.148
9613,western-carolina,"Fri, Nov 13, 2015",@,Cincinnati,Western Carolina,western-carolina,L,cincinnati,76.7,0.436,12.6,28.6,0.157,0.661,19.3,47.8,0.322
9644,western-illinois,"Fri, Nov 13, 2015",@,Wisconsin (17),Western Illinois,western-illinois,W,wisconsin,58.3,0.61,15.3,28.0,0.16,0.411,3.9,45.2,0.258
9671,western-kentucky,"Sat, Nov 14, 2015",,Campbellsville,Western Kentucky,western-kentucky,W,campbellsville,72.6,,,,,0.544,10.4,57.5,0.125
9699,western-michigan,"Sat, Nov 14, 2015",@,DePaul,Western Michigan,western-michigan,L,depaul,68.0,0.426,14.6,23.3,0.315,0.478,13.9,22.2,0.543
9728,wichita-state,"Fri, Nov 13, 2015",,Charleston Southern,Wichita State,wichita-state,W,charleston-southern,70.4,0.5,7.4,45.7,0.544,0.458,17.5,3.4,0.396
9873,wright-state,"Sun, Nov 15, 2015",@,Northern Illinois,Wright State,wright-state,L,northern-illinois,60.7,0.52,18.2,19.2,0.14,0.511,15.9,35.7,0.455
9984,youngstown-state,"Sat, Nov 14, 2015",@,Kent State,Youngstown State,youngstown-state,L,kent-state,78.4,0.475,15.7,12.5,0.217,0.477,17.1,42.1,0.262
