Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
53,Charlotte,33,14,19,0.424,-3.03,-1.61,9,9,8,7,5,8,2584,2631,,72.1,107,0.332,0.337,0.54,49.9,52.3,8.4,5.5,0.51,14.3,29.5,0.231
54,Chattanooga,34,29,5,0.853,3.91,-3.78,15,3,13,1,10,4,2578,2265,,68,110.7,0.416,0.374,0.565,52.5,57,11.4,13.4,0.524,15.8,32.6,0.305
55,Chicago State,32,4,28,0.125,-17.31,-1.18,0,14,4,9,0,15,2140,2478,,72,92.9,0.287,0.376,0.472,47.7,49.1,10.7,9.3,0.44,16.9,31,0.192
56,Cincinnati,32,22,10,0.688,15.58,5.27,12,6,14,3,6,6,2342,2012,,65.7,108.5,0.335,0.364,0.525,53.2,60.1,11.8,15.5,0.49,13.8,36.5,0.236
57,Citadel,32,10,22,0.313,-15.61,-4.4,3,15,6,8,3,13,2753,2962,,81.2,105.6,0.314,0.5,0.534,44.4,52.1,10.8,7,0.499,14.7,28,0.229
58,Clemson,31,17,14,0.548,12.22,7.06,10,8,13,4,3,8,2159,1999,,63.7,108.5,0.333,0.393,0.54,50.2,54.6,9,14.2,0.506,13.7,30.3,0.241
59,Cleveland State,32,9,23,0.281,-9.12,0.14,4,14,5,9,3,10,1947,2169,,65.9,91.9,0.308,0.308,0.486,48.6,46.4,9.3,8.1,0.453,18.8,30.1,0.209
60,Coastal Carolina,29,18,11,0.621,-1.66,-4.39,12,6,11,3,7,5,2167,1953,,68.2,109,0.37,0.371,0.551,52.7,46.5,8.7,9,0.525,15.5,32.2,0.247
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
61,Colgate,30,13,17,0.433,-8.4,-5.85,9,9,8,4,5,13,2093,2145,,65.3,105,0.292,0.429,0.549,47.7,53.3,9.2,7.2,0.526,16.1,27.4,0.198
62,College of Charleston,31,17,14,0.548,2.66,0.32,8,10,10,5,6,8,2028,1921,,65.1,99.7,0.33,0.346,0.51,50.8,50,10.9,7.4,0.48,16.6,30.2,0.22
63,Colorado State,34,18,16,0.529,2.25,1.47,8,10,12,5,3,8,2700,2626,,69.3,111.3,0.417,0.433,0.545,53.6,51.8,5.4,6.2,0.504,13.9,33.6,0.299
64,Colorado,33,22,11,0.667,12.61,7.86,10,8,16,1,4,7,2509,2333,,70.8,106.6,0.393,0.322,0.534,55.9,53.8,7.3,11.7,0.489,15.9,35.5,0.291
65,Columbia,31,21,10,0.677,2.35,-2.58,10,4,14,4,7,6,2362,2146,,66.8,112.7,0.378,0.445,0.569,51.4,56.4,9.4,10.2,0.537,14.1,29.8,0.269
66,Connecticut,34,24,10,0.706,16.13,5.81,11,7,14,3,6,4,2496,2145,,66.1,109.5,0.297,0.337,0.559,51.5,52.2,8.6,13.9,0.521,14.5,29.1,0.233
67,Coppin State,31,9,22,0.29,-15.36,-5.67,6,10,5,7,3,14,2240,2497,,71.3,98.2,0.381,0.37,0.491,47.1,47,7.6,7.2,0.445,15.2,31.4,0.269
68,Cornell,28,10,18,0.357,-9.59,-1.07,3,11,5,8,5,10,1992,2193,,72.6,97.1,0.324,0.407,0.516,43.2,43,10.6,9.6,0.49,16.2,22.8,0.211
69,Creighton,32,18,14,0.563,13.03,6.5,9,9,12,5,4,8,2546,2337,,72.1,110.3,0.374,0.391,0.568,50.8,54.9,8.4,7.8,0.537,14.2,26.7,0.263
70,Dartmouth,28,10,18,0.357,-5.57,-3.27,4,10,8,6,2,12,1992,1989,,69.1,102,0.375,0.285,0.526,51.8,52.4,9.8,5.4,0.484,17.7,33.6,0.271
71,Davidson,32,20,12,0.625,5.96,5.02,10,8,15,1,3,9,2534,2492,,71.1,110.9,0.332,0.438,0.558,47.4,55.5,6.6,7.8,0.52,12.6,25.7,0.252
72,Dayton,32,25,7,0.781,12.09,4.72,14,4,14,3,8,2,2342,2106,,68.7,105.3,0.41,0.349,0.551,53.7,57.3,8.5,12.3,0.52,16.5,28.9,0.276
73,Delaware State,32,7,25,0.219,-20.58,-6.55,5,11,6,7,1,17,1980,2336,,67.2,91.4,0.295,0.385,0.478,44.8,51.7,8,8.8,0.455,17.7,28,0.182
74,Delaware,30,7,23,0.233,-8.48,0.99,2,16,5,7,2,15,1986,2270,,67.4,97.8,0.422,0.311,0.498,50.7,47.7,5.3,9.2,0.453,15.3,29.5,0.289
75,Denver,31,16,15,0.516,-3.12,-3.03,7,9,8,7,6,6,2021,2024,,62.6,104.1,0.366,0.423,0.594,45.2,64.3,10.2,7.4,0.557,19.2,20.1,0.282
76,DePaul,31,9,22,0.29,0.66,8.17,3,15,5,9,3,10,2092,2325,,68.4,98.2,0.365,0.29,0.527,50.6,48.7,7,9.2,0.494,18.9,30.7,0.248
77,Detroit Mercy,31,16,15,0.516,-2.39,-0.76,9,9,11,4,4,10,2595,2567,,75.7,110.1,0.412,0.337,0.563,51.4,45.5,9,11.2,0.529,15.6,32.4,0.288
78,Drake,31,7,24,0.226,-5.21,0.85,2,16,5,9,0,12,2093,2230,,65.9,101.2,0.343,0.341,0.549,50.3,51.4,5.6,5.4,0.515,18.1,25.6,0.248
79,Drexel,31,6,25,0.194,-5.14,2.17,3,15,3,9,2,12,1958,2183,,65.6,95.9,0.368,0.3,0.484,48,56.7,6.9,10,0.443,14.7,28.3,0.252
80,Duke,33,23,10,0.697,20.06,10.66,11,7,15,3,5,4,2688,2378,,68.3,118.4,0.401,0.401,0.572,49.9,49,9.3,9.4,0.536,12.2,34,0.29
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
81,Duquesne,32,16,16,0.5,1.68,1.55,6,12,9,6,4,7,2512,2483,,73.3,106.3,0.322,0.427,0.56,51,55.7,6.5,9.8,0.536,16.6,27.9,0.221
82,East Carolina,32,12,20,0.375,-0.17,3.42,4,14,8,8,3,10,2186,2301,,67,100,0.346,0.382,0.524,48.5,63.9,8.4,5.5,0.49,17.1,28.8,0.241
83,East Tennessee State,34,23,11,0.676,-0.95,-2.36,14,4,13,2,8,8,2644,2500,,70.2,109.6,0.369,0.359,0.563,49.8,45.1,9.5,10.2,0.53,15.6,29.7,0.263
84,Eastern Illinois,30,13,17,0.433,-8.19,-3.37,9,7,9,5,4,9,2145,2213,,68.3,103,0.338,0.382,0.532,46.3,54.6,8.5,6.3,0.507,15.4,27.3,0.222
85,Eastern Kentucky,31,15,16,0.484,-3.34,-3.67,6,10,10,6,5,10,2497,2453,,73.4,109.8,0.398,0.371,0.597,47.7,57.3,9.6,8.3,0.564,18.1,27.2,0.29
86,Eastern Michigan,33,18,15,0.545,0.11,1.49,9,9,14,3,4,11,2553,2460,,72.4,106,0.435,0.307,0.539,48.6,43.3,13,10.5,0.494,15.3,32,0.314
87,Eastern Washington,32,17,15,0.531,-4.45,-6.38,10,8,10,2,5,11,2620,2460,,70.5,116.2,0.369,0.462,0.599,49.6,46.5,8.6,9.1,0.578,14.5,27.8,0.252
88,Elon,32,16,16,0.5,-0.4,0.94,7,11,8,8,8,7,2429,2413,,71.7,105.5,0.308,0.456,0.545,49.3,56.4,7.6,5.2,0.523,15.7,28,0.204
