Team,games,Win,T_Pace,T_EFG,T_ORB,T_TOV,T_FTFGA,Team_stats,O_EFG,O_ORB,O_TOV,O_FTFGA,School,SOS
Albany (NY),16.0,W,69.79375,0.4106875,21.8375,17.76875,0.2958125,Binghamton,0.4909375,27.5,15.26875,0.2306875,Binghamton,-6.17
Vermont,17.0,W,69.3705882353,0.415941176471,22.2588235294,17.8117647059,0.285058823529,Binghamton,0.500411764706,28.6294117647,15.5529411765,0.242705882353,Binghamton,-6.17
Massachusetts-Lowell,18.0,L,68.9388888889,0.421277777778,21.7166666667,18.2833333333,0.282777777778,Binghamton,0.502611111111,28.4277777778,15.5833333333,0.237,Binghamton,-6.17
Maryland-Baltimore County,20.0,L,68.91,0.4273,22.565,18.415,0.2809,Binghamton,0.4983,28.075,16.415,0.23655,Binghamton,-6.17
Maine,21.0,W,68.9285714286,0.428333333333,23.0761904762,18.4761904762,0.275571428571,Binghamton,0.502095238095,28.3238095238,16.6428571429,0.239285714286,Binghamton,-6.17
Stony Brook,21.0,W,68.9285714286,0.428333333333,23.0761904762,18.4761904762,0.275571428571,Binghamton,0.502095238095,28.3238095238,16.6428571429,0.239285714286,Binghamton,-6.17
New Hampshire,22.0,W,68.6136363636,0.431090909091,22.9363636364,18.85,0.270136363636,Binghamton,0.506636363636,28.4954545455,16.4045454545,0.232272727273,Binghamton,-6.17
Albany (NY),23.0,W,68.4043478261,0.43052173913,23.1608695652,18.6913043478,0.26552173913,Binghamton,0.500434782609,27.9608695652,15.9434782609,0.237173913043,Binghamton,-6.17
Hartford,25.0,L,68.028,0.43072,23.56,18.168,0.26448,Binghamton,0.5002,27.348,16.08,0.24404,Binghamton,-6.17
Vermont,25.0,W,68.028,0.43072,23.56,18.168,0.26448,Binghamton,0.5002,27.348,16.08,0.24404,Binghamton,-6.17
Massachusetts-Lowell,27.0,L,68.262962963,0.437666666667,23.7037037037,18.0703703704,0.261,Binghamton,0.504,26.637037037,15.9888888889,0.243222222222,Binghamton,-6.17
Maryland-Baltimore County,28.0,W,68.4071428571,0.44075,24.125,18.1964285714,0.259035714286,Binghamton,0.506321428571,26.6321428571,16.1464285714,0.243142857143,Binghamton,-6.17
Maine,29.0,L,68.5931034483,0.443310344828,24.6275862069,18.0206896552,0.255344827586,Binghamton,0.503965517241,26.775862069,16.1103448276,0.239517241379,Binghamton,-6.17
New Hampshire,29.0,W,68.5931034483,0.443310344828,24.6275862069,18.0206896552,0.255344827586,Binghamton,0.503965517241,26.775862069,16.1103448276,0.239517241379,Binghamton,-6.17
Sacramento State,2.0,W,71.7,0.395,32.4,18.35,0.259,Seattle,0.4595,25.25,13.35,0.2095,Seattle,-4.85
Eastern Washington,3.0,W,68.6,0.462666666667,28.2666666667,17.2333333333,0.231333333333,Seattle,0.499666666667,25.4333333333,12.2333333333,0.205,Seattle,-4.85
Eastern Washington,3.0,L,68.6,0.462666666667,28.2666666667,17.2333333333,0.231333333333,Seattle,0.499666666667,25.4333333333,12.2333333333,0.205,Seattle,-4.85
University of California,5.0,W,67.7,0.46125,27.45,17.375,0.25325,Seattle,0.49,26.76,17.56,0.1794,Seattle,-4.85
Cal State Fullerton,6.0,W,67.3166666667,0.4448,27.22,15.78,0.2086,Seattle,0.484333333333,29.75,17.4833333333,0.1905,Seattle,-4.85
Mississippi Valley State,8.0,L,70.0,0.457428571429,26.6857142857,17.4714285714,0.216428571429,Seattle,0.47575,27.4375,16.5,0.18875,Seattle,-4.85
Alabama-Birmingham,9.0,W,69.3333333333,0.4775,28.4625,18.2,0.213875,Seattle,0.487666666667,28.8333333333,16.1444444444,0.184444444444,Seattle,-4.85
San Jose State,10.0,L,69.28,0.474777777778,27.3888888889,17.8111111111,0.229888888889,Seattle,0.4937,28.91,16.79,0.1795,Seattle,-4.85
Washington,10.0,W,69.28,0.474777777778,27.3888888889,17.8111111111,0.229888888889,Seattle,0.4937,28.91,16.79,0.1795,Seattle,-4.85
UC-Davis,12.0,L,69.625,0.490636363636,28.2545454545,18.7,0.221727272727,Seattle,0.49825,29.8333333333,17.1833333333,0.18475,Seattle,-4.85
UC-Santa Barbara,12.0,W,69.625,0.490636363636,28.2545454545,18.7,0.221727272727,Seattle,0.49825,29.8333333333,17.1833333333,0.18475,Seattle,-4.85
Missouri-Kansas City,13.0,W,69.6,0.482333333333,27.2916666667,18.8,0.213833333333,Seattle,0.509230769231,29.8153846154,16.7692307692,0.177769230769,Seattle,-4.85
Chicago State,15.0,L,69.5466666667,0.487714285714,28.2071428571,19.45,0.237714285714,Seattle,0.498933333333,30.3333333333,16.5666666667,0.201333333333,Seattle,-4.85
Cal State Bakersfield,16.0,W,69.45,0.481133333333,27.7866666667,19.56,0.2342,Seattle,0.5045,30.51875,16.53125,0.2120625,Seattle,-4.85
New Mexico State,17.0,W,69.1470588235,0.4885625,26.8,19.7625,0.227875,Seattle,0.504882352941,32.1176470588,17.2647058824,0.228352941176,Seattle,-4.85
Texas-Rio Grande Valley,17.0,L,69.1470588235,0.4885625,26.8,19.7625,0.227875,Seattle,0.504882352941,32.1176470588,17.2647058824,0.228352941176,Seattle,-4.85
Utah Valley,18.0,L,68.4166666667,0.492470588235,27.2588235294,19.0529411765,0.224117647059,Seattle,0.503166666667,32.1833333333,16.7277777778,0.220555555556,Seattle,-4.85
Grand Canyon,20.0,L,68.215,0.494842105263,27.2473684211,18.6210526316,0.222473684211,Seattle,0.49315,32.08,16.715,0.22265,Seattle,-4.85
Chicago State,21.0,L,67.9380952381,0.49135,27.55,18.63,0.22455,Seattle,0.489761904762,32.0952380952,16.4523809524,0.21780952381,Seattle,-4.85
Missouri-Kansas City,21.0,L,67.9380952381,0.49135,27.55,18.63,0.22455,Seattle,0.489761904762,32.0952380952,16.4523809524,0.21780952381,Seattle,-4.85
Grand Canyon,23.0,W,68.0304347826,0.486045454545,27.5954545455,18.8272727273,0.2425,Seattle,0.486565217391,31.2173913043,16.4304347826,0.225,Seattle,-4.85
Texas-Rio Grande Valley,23.0,W,68.0304347826,0.486045454545,27.5954545455,18.8272727273,0.2425,Seattle,0.486565217391,31.2173913043,16.4304347826,0.225,Seattle,-4.85
New Mexico State,25.0,W,68.036,0.478458333333,28.0416666667,18.8125,0.239208333333,Seattle,0.48472,31.164,16.224,0.2308,Seattle,-4.85
Utah Valley,26.0,L,67.9884615385,0.47996,28.08,18.632,0.23556,Seattle,0.4875,30.8961538462,16.1269230769,0.222538461538,Seattle,-4.85
Cal State Bakersfield,27.0,W,68.3814814815,0.479115384615,28.5,18.8576923077,0.236769230769,Seattle,0.490666666667,30.9148148148,16.0777777778,0.234481481481,Seattle,-4.85
Robert Morris,2.0,L,76.7,0.637,46.65,15.05,0.295,Cincinnati,0.383,22.1,22.05,0.217,Cincinnati,5.27
Bowling Green State,2.0,L,76.7,0.637,46.65,15.05,0.295,Cincinnati,0.383,22.1,22.05,0.217,Cincinnati,5.27
Arkansas-Pine Bluff,3.0,L,75.5666666667,0.614,41.5666666667,14.0333333333,0.237,Cincinnati,0.373,20.9333333333,21.2333333333,0.196333333333,Cincinnati,5.27
Southern Methodist,13.0,W,69.5230769231,0.531,39.7692307692,14.6307692308,0.277615384615,Cincinnati,0.434230769231,28.5153846154,16.1769230769,0.190461538462,Cincinnati,5.27
South Florida,15.0,L,68.4466666667,0.5134,39.0933333333,14.5,0.262066666667,Cincinnati,0.449866666667,28.2866666667,17.4133333333,0.185066666667,Cincinnati,5.27
Houston,16.0,L,68.08125,0.511125,39.425,14.1625,0.253375,Cincinnati,0.4501875,29.55625,17.65625,0.18375,Cincinnati,5.27
Temple,17.0,W,67.8294117647,0.503352941176,39.3117647059,14.3294117647,0.248529411765,Cincinnati,0.446529411765,29.4647058824,17.1882352941,0.179117647059,Cincinnati,5.27
Memphis,17.0,L,67.8294117647,0.503352941176,39.3117647059,14.3294117647,0.248529411765,Cincinnati,0.446529411765,29.4647058824,17.1882352941,0.179117647059,Cincinnati,5.27
Tulane,18.0,L,68.0277777778,0.505,38.0555555556,14.2611111111,0.245833333333,Cincinnati,0.450944444444,29.4944444444,17.2888888889,0.180888888889,Cincinnati,5.27
Connecticut,19.0,L,68.3947368421,0.512789473684,37.5052631579,14.0315789474,0.246473684211,Cincinnati,0.457736842105,28.8473684211,17.6157894737,0.180789473684,Cincinnati,5.27
South Florida,21.0,L,68.3095238095,0.510904761905,37.3095238095,13.9952380952,0.24480952381,Cincinnati,0.454857142857,29.0952380952,17.780952381,0.180619047619,Cincinnati,5.27
Memphis,22.0,W,68.2363636364,0.506090909091,37.0409090909,13.9545454545,0.243090909091,Cincinnati,0.449681818182,29.8545454545,17.5909090909,0.184818181818,Cincinnati,5.27
Central Florida,22.0,L,68.2363636364,0.506090909091,37.0409090909,13.9545454545,0.243090909091,Cincinnati,0.449681818182,29.8545454545,17.5909090909,0.184818181818,Cincinnati,5.27
East Carolina,23.0,L,68.152173913,0.503391304348,36.9173913043,13.8913043478,0.24147826087,Cincinnati,0.451869565217,29.1347826087,17.9695652174,0.186086956522,Cincinnati,5.27
Tulsa,24.0,W,68.0625,0.505333333333,36.9583333333,13.8666666667,0.237666666667,Cincinnati,0.452083333333,28.9291666667,17.8875,0.183375,Cincinnati,5.27
Connecticut,26.0,L,67.8615384615,0.502769230769,36.1692307692,13.9192307692,0.233923076923,Cincinnati,0.451653846154,28.3923076923,17.4615384615,0.183153846154,Cincinnati,5.27
East Carolina,27.0,L,67.6185185185,0.502666666667,35.8703703704,13.7740740741,0.229740740741,Cincinnati,0.453444444444,27.937037037,17.4296296296,0.178481481481,Cincinnati,5.27
